,1985,1987,1989,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019
Luxembourg,74.73805237,76.45964813,73.57505798,70.48592377,72.62937164,75.03449249,77.20085144,79.06304169,80.59410095,73.83603668,76.26399994,76.34550476,78.05754089,74.00809479,81.75325012,80.21788025,79.57911682,79.35448456
Malta,17.52529716,17.4513607,19.05436516,18.5437603,17.66456413,20.42699051,19.65394592,18.7308197,15.76347637,19.01560593,20.0906353,20.2589817,21.17314148,0,23.09587288,23.13252258,23.56156349,25.32553673
Netherlands,59.93856812,60.71048737,56.09947205,51.85467529,59.44485092,61.587677,59.58525848,65.85939789,64.83717346,57.69133377,61.90435791,60.64588165,60.86505127,58.07522964,67.52462006,68.21000671,63.8201828,67.71162415
North Macedonia,37.32104111,32.84050369,32.58347702,37.10261917,30.29050827,37.58929825,36.42858505,34.10625458,35.30135345,39.77840805,40.00064087,30.41549301,39.7886734,40.82707214,48.44953156,51.82341766,46.11362839,50.81842041
Norway,32.02263641,34.47754669,27.43128395,30.0876255,35.37018585,38.88154221,34.42216873,37.56074524,39.76430893,35.59762955,40.88884735,30.56682205,37.70347214,34.60622406,47.2221756,46.03919601,44.53297424,42.49729919
Poland,62.0908165,65.0559845,62.93600845,57.96691132,63.57614899,66.71009827,66.57707977,69.31224823,69.52662659,65.63302612,67.52570343,66.91802216,68.29888916,68.00238037,75.10761261,75.48047638,74.34936523,73.59437561
Slovakia,60.30286789,71.29363251,69.97954559,66.4881134,70.3458786,72.62710571,73.52703857,74.30499268,76.59600067,69.5695343,73.68136597,69.86550903,72.46992493,73.09483337,78.9600296,80.05461884,78.66669464,78.72853088
Slovenia,74.55431366,76.30911255,77.09803009,74.98595428,76.6182785,77.88648987,79.20742798,81.4201889,82.00139618,77.02173615,76.25760651,78.09116364,78.57488251,77.7485199,81.58787537,83.15086365,82.63750458,83.6145401
Spain,55.75163269,61.19152069,58.28683853,56.71674728,60.15144348,60.46516037,61.09573746,63.58240891,63.30700684,60.45337296,58.84941864,63.67466354,62.67404556,61.1679306,69.52696228,68.64015198,69.11429596,70.06856537
Sweden,59.76589203,61.39145279,58.92203903,56.21700287,58.55011749,63.48231125,62.305439,65.13219452,63.50886154,63.28124619,63.05815506,63.62340927,61.24636078,56.56993866,71.64648438,70.92874908,70.2460022,69.77519226
Switzerland,68.15103912,66.10516357,68.02198792,64.91699982,69.21755219,68.72683716,70.38977814,73.40769958,74.91203308,67.02285767,69.13716125,69.73826599,70.92042542,68.03656769,75.77373505,75.28897858,72.02936554,75.86401367
United Kingdom,35.25431061,43.2575798,61.86119843,44.53408432,62.6569252,65.12496185,61.46633148,68.77179718,61.50618744,47.54715347,51.04071808,55.9078331,59.93689346,47.98958969,73.08188629,70.43039703,70.45120239,72.23466492
