cddaId,cddaCountryCode,cddaRegionCode,siteName,legalFoundationDate,FDsource
555640181,FR,FR,Lande Et Tourbiere De Combe-Prunde,2006,http://www.conservatoirelimousin.com/la-liste-des-sites/site/25-lande-et-tourbiere-de-combe-prunde.html
555640164,FR,FR,Tourbiere Et Landes Du Pont De La Pierre,2000,http://www.conservatoirelimousin.com/la-liste-des-sites/site/37-tourbiere-et-landes-du-pont-la-pierre.html
555640190,FR,FR,Gite A Chiropteres Des Tours De Merle,,http://www.conservatoirelimousin.com/la-liste-des-sites/site/39-gite-a-chiropteres-des-tours-de-merle.html
555640143,FR,FR,Etang Et Tourbiere De Chabannes,2004,http://www.conservatoirelimousin.com/la-liste-des-sites/site/45-etang-et-tourbiere-de-chabannes.html
555640168,FR,FR,Landes Serpentinicoles De Saint-Laurent,1995,http://www.conservatoirelimousin.com/la-liste-des-sites/site/4-landes-serpentinicoles-de-saint-laurent.html
555640196,FR,FR,Puy De Razel Et Redond Bord,2004,http://www.conservatoirelimousin.com/la-liste-des-sites/site/59-puy-de-razel-et-redond-bord.html
555640179,FR,FR,Tourbiere De La Gane Des Nouhauts,2003,http://www.conservatoirelimousin.com/la-liste-des-sites/site/61-tourbiere-de-la-gane-des-nouhauts.html
555546791,FR,FR,Bois Sur Pente De La Vieille Eglise,2000,http://www.conservatoirelimousin.com/la-liste-des-sites/site/72-bois-sur-pente-de-la-vieille-eglise.html
555546775,FR,FR,Tourbiere Et Lande Des Recours,1997,http://www.conservatoirelimousin.com/la-liste-des-sites/site/8-tourbiere-et-lande-des-recours.html
555640204,FR,FR,Bois Sur Pente Du Saut De La Virolle,1995,http://www.conservatoirelimousin.com/la-liste-des-sites/site/91-bois-sur-pente-du-saut-de-la-virole.html
555640208,FR,FR,Tourbiere De Rebiere-Negre Et Lande Du Gue,2003,http://www.conservatoirelimousin.com/la-liste-des-sites/site/95-tourbiere-de-rebiere-negre-et-lande-du-gue.html
555640207,FR,FR,Landes De La Butte De Frochet,1993,http://www.conservatoirelimousin.com/tl_files/cen_limousin/contenus/Fichiers/fichedesite/fiche_frochet.pdf
555640023,FR,FR,Tourbieres De Vendoire,2001,http://www.cren-aquitaine.fr/patrimoine/fiches/fiche_vendoire.pdf
555640025,FR,FR,Coteau De Lembeye,1997,http://www.cren-aquitaine.fr/patrimoine/fiches/PSLembeye.pdf
555640085,FR,FR,Les Coteaux D'Amfreville-Sous-Les-Monts,,http://www.cren-haute-normandie.com/carte/fiches/Site_Amfreville.pdf
555640095,FR,FR,Les Coteaux De St-Pierre-Du-Vauvray A Vironvay,2003,http://www.cren-haute-normandie.com/carte/fiches/Site_SPV.pdf
555640365,FR,FR,Pree Des Cosses,2016,http://www.cren-poitou-charentes.org/acquisition-la-pree-des-cosses-deux-sevres
555640368,FR,FR,Boucles De La Dive Du Sud,1993,http://www.cren-poitou-charentes.org/decouverte-des-oiseaux-des-plaine-et-marais-de-sainte-soline-79-communique-de-presse
